Experiment Date: 15 April 2024 Time: 2:20 plus
Start of Data Logging
Line Break

Start of Data Logging
Line Break
Internal_Air_Temp(degree celsius); 26.44;   26.81;   |Temp_substrate(degree celsius); -127.00;   25.87;   25.62;   |Moisture (AnalogRead); 585.00;   588.00;   585.00;   |Actual pH; 6.27;   |Methane(ppm); 152.09;   |DHT22(%); 64.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.50;   26.81;   |Temp_substrate(degree celsius); -127.00;   25.94;   25.75;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 153.69;   |DHT22(%); 65.10;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.50;   26.87;   |Temp_substrate(degree celsius); -127.00;   26.00;   25.81;   |Moisture (AnalogRead); 584.00;   589.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 156.92;   |DHT22(%); 65.40;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.56;   26.87;   |Temp_substrate(degree celsius); -127.00;   26.00;   25.81;   |Moisture (AnalogRead); 585.00;   589.00;   587.00;   |Actual pH; 6.34;   |Methane(ppm); 155.29;   |DHT22(%); 65.60;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.56;   26.94;   |Temp_substrate(degree celsius); -127.00;   26.00;   25.81;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 156.92;   |DHT22(%); 65.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.56;   26.94;   |Temp_substrate(degree celsius); -127.00;   26.06;   25.87;   |Moisture (AnalogRead); 584.00;   589.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 160.20;   |DHT22(%); 66.10;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.56;   26.94;   |Temp_substrate(degree celsius); -127.00;   26.06;   25.94;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.27;   |Methane(ppm); 155.29;   |DHT22(%); 66.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.62;   26.94;   |Temp_substrate(degree celsius); -127.00;   26.12;   25.87;   |Moisture (AnalogRead); 583.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 158.55;   |DHT22(%); 66.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.62;   27.00;   |Temp_substrate(degree celsius); -127.00;   26.12;   25.94;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 160.20;   |DHT22(%); 66.70;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.62;   27.00;   |Temp_substrate(degree celsius); -127.00;   26.19;   26.00;   |Moisture (AnalogRead); 584.00;   589.00;   585.00;   |Actual pH; 6.27;   |Methane(ppm); 160.20;   |DHT22(%); 66.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.62;   27.00;   |Temp_substrate(degree celsius); -127.00;   26.12;   25.94;   |Moisture (AnalogRead); 585.00;   588.00;   585.00;   |Actual pH; 6.27;   |Methane(ppm); 160.20;   |DHT22(%); 67.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.69;   27.00;   |Temp_substrate(degree celsius); -127.00;   26.19;   26.00;   |Moisture (AnalogRead); 584.00;   589.00;   586.00;   |Actual pH; 6.30;   |Methane(ppm); 160.20;   |DHT22(%); 67.10;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.69;   27.00;   |Temp_substrate(degree celsius); -127.00;   26.19;   26.06;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.34;   |Methane(ppm); 160.20;   |DHT22(%); 67.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.69;   27.06;   |Temp_substrate(degree celsius); -127.00;   26.19;   25.94;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 163.53;   |DHT22(%); 67.30;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.69;   27.06;   |Temp_substrate(degree celsius); -127.00;   26.25;   26.06;   |Moisture (AnalogRead); 583.00;   588.00;   585.00;   |Actual pH; 6.27;   |Methane(ppm); 160.20;   |DHT22(%); 67.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.75;   27.06;   |Temp_substrate(degree celsius); -127.00;   26.19;   26.00;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 160.20;   |DHT22(%); 67.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.75;   27.06;   |Temp_substrate(degree celsius); -127.00;   26.19;   26.06;   |Moisture (AnalogRead); 585.00;   589.00;   586.00;   |Actual pH; 6.30;   |Methane(ppm); 160.20;   |DHT22(%); 67.50;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.75;   27.06;   |Temp_substrate(degree celsius); -127.00;   26.25;   26.06;   |Moisture (AnalogRead); 584.00;   588.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 163.53;   |DHT22(%); 67.70;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.75;   27.12;   |Temp_substrate(degree celsius); -127.00;   26.25;   26.06;   |Moisture (AnalogRead); 584.00;   589.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 163.53;   |DHT22(%); 67.70;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.75;   27.12;   |Temp_substrate(degree celsius); -127.00;   26.25;   26.06;   |Moisture (AnalogRead); 584.00;   588.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 163.53;   |DHT22(%); 67.80;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.75;   27.12;   |Temp_substrate(degree celsius); -127.00;   26.31;   26.12;   |Moisture (AnalogRead); 584.00;   589.00;   586.00;   |Actual pH; 6.30;   |Methane(ppm); 165.21;   |DHT22(%); 67.90;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.81;   27.12;   |Temp_substrate(degree celsius); -127.00;   26.25;   26.12;   |Moisture (AnalogRead); 583.00;   588.00;   584.00;   |Actual pH; 6.30;   |Methane(ppm); 163.53;   |DHT22(%); 68.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.81;   27.12;   |Temp_substrate(degree celsius); -127.00;   26.25;   26.12;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.34;   |Methane(ppm); 163.53;   |DHT22(%); 68.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.81;   27.12;   |Temp_substrate(degree celsius); -127.00;   26.25;   26.12;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 163.53;   |DHT22(%); 68.00;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.81;   27.19;   |Temp_substrate(degree celsius); -127.00;   26.25;   26.12;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.27;   |Methane(ppm); 163.53;   |DHT22(%); 68.20;   |Fan Level; 0.00;   |
Internal_Air_Temp(degree celsius); 26.81;   27.19;   |Temp_substrate(degree celsius); -127.00;   26.31;   26.12;   |Moisture (AnalogRead); 584.00;   588.00;   585.00;   |Actual pH; 6.30;   |Methane(ppm); 163.53;   |DHT22(%); 68.20;   |Fan Level; 0.00;   |
